,0,1
0,Abig. SMITH,Abigail SMITH
1,Abig. JONES,Abigail JONES
2,Abig. BROWN,Abigail BROWN
3,Abig. JOHNSON,Abigail JOHNSON
4,Abig. WILLIAMS,Abigail WILLIAMS
5,Abig. MILLER,Abigail MILLER
6,Abig. TAYLOR,Abigail TAYLOR
7,Abig. WILSON,Abigail WILSON
8,Abig. DAVIS,Abigail DAVIS
9,Abig. WHITE,Abigail WHITE
10,Abig. CLARK,Abigail CLARK
11,Abig. HALL,Abigail HALL
12,Abig. THOMAS,Abigail THOMAS
13,Abig. THOMPSON,Abigail THOMPSON
14,Abig. MOORE,Abigail MOORE
15,Abig. HILL,Abigail HILL
16,Abig. WALKER,Abigail WALKER
17,Abig. ANDERSON,Abigail ANDERSON
18,Abig. WRIGHT,Abigail WRIGHT
19,Abig. MARTIN,Abigail MARTIN
20,Abig. WOOD,Abigail WOOD
21,Abig. ALLEN,Abigail ALLEN
22,Abig. ROBINSON,Abigail ROBINSON
23,Abig. LEWIS,Abigail LEWIS
24,Abig. SCOTT,Abigail SCOTT
25,Abig. YOUNG,Abigail YOUNG
26,Abig. JACKSON,Abigail JACKSON
27,Abig. ADAMS,Abigail ADAMS
28,Abig. TRYNISKI,Abigail TRYNISKI
29,Abig. GREEN,Abigail GREEN
30,Abig. EVANS,Abigail EVANS
31,Abig. KING,Abigail KING
32,Abig. BAKER,Abigail BAKER
33,Abig. JOHN,Abigail JOHN
34,Abig. HARRIS,Abigail HARRIS
35,Abig. ROBERTS,Abigail ROBERTS
36,Abig. CAMPBELL,Abigail CAMPBELL
37,Abig. JAMES,Abigail JAMES
38,Abig. STEWART,Abigail STEWART
39,Abig. LEE,Abigail LEE
40,Abig. COUNTY,Abigail COUNTY
41,Abig. TURNER,Abigail TURNER
42,Abig. PARKER,Abigail PARKER
43,Abig. COOK,Abigail COOK
44,Abig. MC,Abigail MC
45,Abig. EDWARDS,Abigail EDWARDS
46,Abig. MORRIS,Abigail MORRIS
47,Abig. MITCHELL,Abigail MITCHELL
48,Abig. BELL,Abigail BELL
49,Abig. WARD,Abigail WARD
50,Abig. WATSON,Abigail WATSON
51,Abig. MORGAN,Abigail MORGAN
52,Abig. DAVIES,Abigail DAVIES
53,Abig. COOPER,Abigail COOPER
54,Abig. PHILLIPS,Abigail PHILLIPS
55,Abig. ROGERS,Abigail ROGERS
56,Abig. GRAY,Abigail GRAY
57,Abig. HUGHES,Abigail HUGHES
58,Abig. HARRISON,Abigail HARRISON
59,Abig. CARTER,Abigail CARTER
60,Abig. MURPHY,Abigail MURPHY
61,Abig. COLLINS,Abigail COLLINS
62,Abig. HENRY,Abigail HENRY
63,Abig. FOSTER,Abigail FOSTER
64,Abig. RICHARDSON,Abigail RICHARDSON
65,Abig. RUSSELL,Abigail RUSSELL
66,Abig. HAMILTON,Abigail HAMILTON
67,Abig. SHAW,Abigail SHAW
68,Abig. BENNETT,Abigail BENNETT
69,Abig. HOWARD,Abigail HOWARD
